0.14,Title, Address,latitude,longitude,Category
1,Pradhan plumbing w.,". G9PR+13.9V, Bhangel, Salarpur Khadar, Salarpur, Noida, Uttar Pradesh",28.537101,77.3909146,Plumber
2,Raj plumber Service,"sector 45 sector 137, Sector 46, Noida, Uttar Pradesh 201301",28.5364951,77.3883774,Plumber
3,Deep Sagar Plumbin.,". Dadri Main Rd, near Police Chowki, Elhangel, Salarpur Khadar, Sector 102, Noida...",28.5402022,77.3888512,Plumber
4,Sachin Electrician & .,". B-07, Road no. 3, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5501125,77.3818259,Plumber
5,BAJRANGI PLUMBIN...,"125 block Gh-01 century appt, Sector 100, Noida, Uttar Pradesh 201301",28.5456289,77.3709858,Plumber
6,Jai Jagannath Plumbi,". Hazipur, Sector 104, Noida, Uttar Pradesh 201301",28.5410296,77.3686255,Plumber
7,Sachin Electrician Plu,"8 07, Salarpur, Sector 102, Noida, Uttar Pradesh 201301",28.5455399,77.3869732,Plumber
8,Sai Sona Electrician a,"Hazipur, Sector 104, Noida, Uttar Pradesh 201304",28.5371667,77.365571,Plumber
9,Amaresh plumber an,"Noaida 31, Uttar Pradesh 201301",28.516619,77.3831389,Plumber
10,Sachin Plumber,,20.9880134,82.7525294,Plumber
