#,Title,Address,latitude,longitude,Category
1,Raj Plumber And Ele...,"Sector 142 Sector 141, Sector 144, Noida, Uttar Pradesh 201305",20.4999353,77.4142756,Plumber
2,NTI plumbing engine...,"A-109, Par; Laureate, Sector 108, Noida, Uttar Pradesh 201301",28.5257568,77.3747638,Plumber
3,Baikunth Plumber Se,". A-151, Gali no-4, Pump No-2,Barola, Sector 49, Noida, Uttar Pradesh 201301",28.5667525,77.3750489,Plumber
4,Bindhani Electrician ...,"Sadarpur, Sector-45, Noida, Uttar Pradesh 201301",28.5534873,77.3527014,Plumber
5,Manoj plumbing sew,". A 269 sector 31 front Lalita Kumari sanitation Noida sector 31 nithari A 269 sect",28.5787918,77.34581984,Plumber
6,Niranjan Plumber Ser,". Block C Market, C, C-102A, Sector 39 Block C Rd, near Khatan School, Sector 39",28.5670597,77.3496486,Plumber
7,Noida Plumber Vikas,"Sector 77 Road, Main Market Rd, Noida, Uttar Pradesh 201301",28.5717021,77.3895617,Plumber
8,Electrical & plurnbin...,,28.5153489,77.3768575,Plumber
9,Noida Plumber & Ele...,,28.5167536,77.39813,Plumber
10,Noida plumbing work,"Village Raipur, Sector 126, Noida, Uttar Pradesh 201313",28.5405015,77.3352784,Plumber
