,Title,Address,latitude,longitude,Category
1,Arvind Electrician,"Main, Dadri Main Rd, Bhangel, Salarpur Khadar, Salarpur, Noida, Uttar Pradesh 201304",28.5412166,77.3881386,Electric Consultant
2,Galaxy Electrician,"A-5, Dadri Main Rd, A block, Sector 49, Noida, Uttar Pradesh 201304",28.5609905,77.3671855,Electric Consultant
,P K Electricals,"R C Market, Main Dadri Road, Phase-II, Main Dadri Road, Noida, 201301",28.542,77.3871166,Electric Consultant
4,Gyan chand Electrician,"Greater Noida W Rd, Rani Laxmibai Nagar, Yusufpur, Nai Basti Dundahera, Greater Noida, Uttar Pradesh ...",28.6222792,77.4157423,Electric Consultant
5,Bahadur Electrician,"G918,4W3, Pocket A, Sector 105, Noida, Uttar Pradesh 201304",28.5302621,77.3673088,Electric Consultant
6,Electrician service,"C-2 Block, near MCD School New Ashok Nagar Delhi 96, New Delhi, Delhi 110096",28.5922587,77.3062184,Electric Consultant
7,Suraj electrician,,28.47539,77.3178595,Electric Consultant
8,Janta Auto Electric W...,"Main Dadri Road, Phase-II, near Varsha Dharam Kanta, Noida, Uttar Pradesh 201304",28.5362615,77.3800217,Electric Consultant
9,SKP Electrical Service.,". Gogia Bath Shop, near HDFC Bank, 8-486, Kalkaji, New Delhi, Delhi 110019",28.5346916,77.2601742,Electric Consultant
10,Electrician santosh,"Sector 9, Faridabad, Haryana 121006",28.3697545,77.3328234,Electric Consultant
