It,Title,Address,latitude,longitude,Category
1,Electrician 24,"near Hanuman Murti, Rajput Colony, Baraula, Sector 49, Noida, Uttar Pradesh 201301",28.5604459,77.3773547,Electric Consultant
2,MH Electrician,"F-150/1, Allama Shibli Nornani Road, Shaheen Bag h, Jasola Vihar, New Delhi, Delhi",28.5453947,77.2992978,Electric Consultant
3,Electricians in Farida,"Faridabad Bypass Rd, Block D, Molar band Extension, Sector 36, Faridabad, Haryana 110044",28.4865491,77.3102304,Electric Consultant
4,Amit 24x7 electricia,"I-11G Flats, Chander Nagar, Surya Nagar, Ghaziabad, Uttar Pradesh 201011",28.6640708,77.3322684,Electric Consultant
5,Desta Electricals (In&,". D-229, Ganesh Nagar Comp, Laxmi Nagar, Laxmi Nagar, New Delhi, Delhi 110092",28.6291731,77.277301,Electric Consultant
6,Chokheial Electrician,,28.5073636,77.4090804,Electric Consultant
7,Sewadar Electrician,"E-163A, Block E, Chora Sadatpur, Sector 22, Noida, Uttar Pradesh 201307",28.5966262,77.3506261,Electric Consultant
8,Kaam Ke Bande Servi,"mother dairy, 5-96 Pandav nagar, Delhi-92, Delhi, 110092",28.6147804,77.2776579,Electric Consultant
9,Hum safar Electrician,"Ghukna More, Bhim Nagar, Chukna, Ghaziabad, Uttar Pradesh 201003",28.6809145,77.4208845,Electric Consultant
10,Electrician,"135, near Federal Bank, wajidpur, Noida, Uttar Pradesh 201301",28.5013896,77.3941378,Electric Consultant
