P,Title,Address,latitude,longitude,Category
1,Electrician in madhu,"Street Number 15, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092",28.6360081,77.3037243,Electric Consultant
2,Bindhani Electrician ...,"Sadarpur, Sector-45, Noida, Uttar Pradesh 201301",28.5534873,77.3527014,Electric Consultant
3,Arvind Electrician,"Matrika Vihar, Azad Vihar, Khora Colony, Sector 62A Noida, Uttar Pradesh 201307",28.6163787,77.3474882,Electric Consultant
4,Uttrakhand Electric,"Y342A, Behind HP Petrol Pump, Sector 12, Noida, Uttar Pradesh 201301",28.5772945,77.3604092,Electric Consultant
5,"Electrician near me (,..","Lajpat Nagar, Shyam Park Extension, Sector 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005",28.6803851,77.3663933,Electric Consultant
6,Electrician Mr.Mehtab,"F 11/12, Shaheen Bagh, AbuI Fazal Enclave Part 2, Jarnia Nagar, Okhla, Delhi NCR, Delhi 110025",28.5513373,77.296996,Electric Consultant
7,Pioneer Electrician,"83, Block C, Sector 61, Noida, Uttar Pradesh 201301",28.5982746,77.3677813,Electric Consultant
8,Shivram Electrician,"near moolchand school, Sadarpur Colony, Village Chhalera & Sadarpur, Block D, SEC 45, Noida, Uttar Pra.",28.5551501,77.3424972,Electric Consultant
9,Geeta electrical and ac,"Royal Tower, RTB 33, Shipra Suncity, lndirapuram, Uttar Pradesh 201014",28.6382593,77.3777959,Electric Consultant
10,New Look Electronic/,"1014-6, Nyay Khand I, Indirapuram, Ghaziabad, Uttar Pradesh 201014",28.6348932,77.3539774,Electric Consultant
