it,Title,F  F  Address,latitude,longitude,Category
1,Maharaja Veg And N.,"Dadri Main Road Sector - 106, Bhangel, Sector - 19 A Salarpur, Noida, Uttar Pradesh 201304",28.5358771,77.3912385,Restaurant
2,Time Machine,"Gardens Galleria Mall, Noida, Uttar Pradesh",28.5355161,77.3910265,Restaurant
3,Doon's Vaishnava Bh...,"Plot No-RN2, Behind Fortis Hospital, Near SRS Value Bazar, Sector-62, Noida, Uttar Pradesh 201301",28.535903,77.3920131,Restaurant
4,Water Park,"Bhangel, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh",28.5355161,77.3910265,Restaurant
5,Tomars Food Paradise,"Shop no-7, Vidya Ram Market, Jagat Farm, Greater Noida, Noida, Bhangel, Sector - 19 A, Sector - 106, Gr.",28.535902,77.392014,Restaurant
6,Sachin Restaurant An...,"Bhangel, Sector - 19 A, Sector - 106, Noida, Uttar Pradesh 201304",28.53594,77.392141,Restaurant
7,COS CHEF ON STREET,"food court, the great India place, Noida, Uttar Pradesh",28.5355161,77.3910265,Restaurant
8,Krunchies Fast Food .,"Shop No. 2,Bhanu Market,Opposite Value Bazaar, Sector 44, Noida, Uttar Pradesh 201301",28.535903,77.392013,Restaurant
9,Vinod Fast Food & C...,"Sec 15, Barola, Noida, Uttar Pradesh 220011",28.535516,77.391027,Restaurant
10,Manoj Hotel,"unipeack company ke samne,habibpur, Greater, Sector - 106, Noida, Uttar Pradesh 201306",28.535903,77.392013,Restaurant
