,Name,Address,Latitude,Longitude,Category
1,Accounts Coaching C.,"Bhangel, Sector - 106, Noida, Uttar Pradesh",28.5355161,77.3910265, Coaching Center
2,Yoshaka Edutech,"B-193, Near Adarsh Public School Gate 3, Sector - 52, Noida, Uttar Pradesh 201301",28.536294,77.392371, Coaching Center
3,Pentagon Academy P,"Jiyaram Complex, 3rd Floor, Oppsite Rajkiya Inter College, Sec-22, Noida, Uttar Pradesh 2013",28.5355161,77.3910265, Coaching Center
4,Alpha Tutorials,"VIII- Haldoni Mode, Sector-50, Noida, Uttar Pradesh 201301",28.535903,77.392013, Coaching Center
5,AIM Institute,"9-84, Bhangel, Sector - 19 A, Sector 51, Noida, Uttar Pradesh",28.53555,77.3911765, Coaching Center
6,Garviya Classes,"Eros Sampoornam, Bhangel, Noida Phase-2, Sector - 106, Noida, Uttar Pradesh",28.5355161,77.3910265, Coaching Center
7,AMU Competition Su...,"Sir Sayed Apartment D-Block Flat No-2 Dadri Road , Bhangael Begampur, Sector 110, Noida,...",28.5377665,77.3896989, Coaching Center
8,Topper's Institute,"B-100,Gr.floor,Basement, Sector - 106, near DrIalpath Lab, Noida, Uttar Pradesh 201301",28.535903,77.392013, Coaching Center
9,Coaching classes 1-5,"Kendriya Vihar II, Sector 82, Noida, Uttar Pradesh 201304",28.5313666,77.3869755, Coaching Center
10,Anant Coaching Gas,"Jeet, Ram Enclave, Jeetram Colony, Bhangel, Salarpur Khadar, Salarpur, Noida, Uttar Pradesh ...",28.5423445,77.390168, Coaching Center
