,Title,Address,Latitude,Longitude,Category
1,Asia Coaching Netw...,"140, Swarnirn Vihar, Sector 82, Noida, Uttar Pradesh 201304",28.5280388,77.3855496, Coaching Center
2,Eros Tuition Classes,"Kendriya Vihar II, Sector 82, Noida, Uttar Pradesh 201304",28.5296164,77.3909549, Coaching Center
3,Miracle Institute,"G94Q+MF16, Bhangel, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.539148,77.3889149, Coaching Center
4,11th &12th Commer...,"Sector-82 Noida 201304, Noida, Uttar Pradesh 201301",28.5254752,77.3904747, Coaching Center
5,"Math , Science tuitio","Kendriya Vihar II, Sector 82, Noida, Uttar Pradesh 201304",28.5314827,77.3889034, Coaching Center
6,Turning point Institut,". Dadri Main Rd, near Police Station, Bhangel, Salarpur Khadar, Sector 102, Noida, Uttar Prades",28.5407191,77.3876448, Coaching Center
7,MIIT COMPUTER &C,". MIIT Computer Classes, Main, Dadri Main Rd, opposite Shiv Mande, Bhangel, Begampur, Utt",28.5401687,77.3888456, Coaching Center
8,Raj Coaching Centre ...,Noida yakubpur sector 83 Mangalore market praymary school ke pass,28.5243247,77.4043897, Coaching Center
9,Saraswati coaching c..,"Baba market, opposite Sarkari Rasan shop, Bhangel, Noida, Uttar Pradesh 201304",28.5397144,77.3936309, Coaching Center
10,ACK Smart Classes,"Nagla Charms Dass, Block A, Phase-2, Noida, Uttar Pradesh 201305",28.5405665,77.4060993, Coaching Center
