,title,Address,Latitude,Longitude,Category
,SCIENCE AND ACCO...,"G9VM-tWOX, Salarpur Khadar, Salarpur, Noida, Uttar Pradesh",28.5447877,77.384422, Coaching Center
2,Arun Study Circle,"Shop No-4, 1st Floor, RD. Palace, Saiarpur, Next to Noida Rural Medical Centre, Noida, Utta..",28.5441937,77.38519554, Coaching Center
3,Awana Excellent Ins&,". G9CP-tR6C), Gejha, Sector 93, Noida, Uttar Pradesh 201304",28.5220904,77.3856267, Coaching Center
4,CBC COMMERCE CL,"1, Dadri Main Rd, Bhangel, Salarpur Khadar, Sector 102, Noida, Uttar Pradesh 201304",28.5424557,77.386249, Coaching Center
5,DLS Coaching Center,"Main, Dadri Main Rd, Rajput Colony, Natthu Colony, Barola, Sector 49, Noida, Uttar Pradesh",28.557399,77.3720969, Coaching Center
6,AIM INSTITUTE,"B-84, Goya! Colony, Salarpur Khadar, Sector 50, Noida, Uttar Pradesh",28.543683,77.3854381, Coaching Center
7,Om Coaching Clause.,". GCR4tH62, SDP Block, Naga Charan Dass, Block A Phase-2, Noida, Uttar Pradesh 201305",28.5413974,77.4055232, Coaching Center
8,Maths Points Institut...,"A-64, Pocket 4, Kendriya Vihar II, Sector 82, Noida, Uttar Pradesh 201301",28.5313258,77.3891466, Coaching Center
9,Sunil Panda commer...,"1st floor, ss complex, bhangel, near vishal megamart, Noida, Uttar Pradesh 201301",28.5417096,77.3876768, Coaching Center
10,Sober Coaching Cent..,"Metro Station, Sober Coaching Centre, Salarpur, near Sector 81, Noida, Uttar Pradesh 201304",28.5456177,77.3906662, Coaching Center
