ff,Title,  Address,latitude,longitude,Category
1,Plumbing & Tiles Co...,"Raipur Road, Sadarpur Colony, Near) S P School, Sector-45, Raipur Road, Noid...",28.5769582,77.339442,Plumber
2,Raj plumber electrici...,"CIdAUDHARY MARKET, near Gopinath Sanitation, Nithari Village, Sector 31, Noi...",28.5758817,77.3403652,Plumber
3,NOIDA Plumber & El...,"Gali Number 1, Nithari Village, Sector 31, Noida, Uttar Pradesh 201301",28.579104,77.3419626,Plumber
4,priyabrat noida plum,"A.S Senitation, A-272, Sector 31, Noida, Uttar Pradesh 201301",28.5768061,77.3449952,Plumber
5,Tiwari plumber service,"A 53, A Block Sector 39, Noida, Uttar Pradesh 201301",28.5688099,77.3498745,Plumber
6,Mo. Ali Plumber,"F- Block, Molar Band, Faridabad, Haryana 110044",28.501762,77.329642,Plumber
7,Abhay Plumber,"Atta, Atta Market, Pocket F, Sector 27, Noida, Uttar Pradesh 201301",28.5725697,77.3265557,Plumber
8,Bharat pradhan plum...,"8-86, Naveen Nagar, Pocket A Sector- 20, Noida, Uttar Pradesh 201301",28.5767743,77.3252377,Plumber
9,Shashikant technical ...,"Office No.21, Timber Market Nithari Village, Sector 31, Noida, Uttar Pradesh 20",28.5771465,77.3417219,Plumber
10,M S Traders All Plum...,"52, Sector Rd, Block C, Sector 52, Noida, Uttar Pradesh 201301",28.5853546,77.3698278,Plumber
