Title,Address,Latitude,Longitude,Category
Shipra mall,"J9MC+J48, Vaibhav Khand, Indirapuram, Ghaziabad, Uttar Pradesh 201014",28.63436243,77.37029121,Shopping mall
Mahagun Metro mall,,28.64656783,77.33519221,Shopping mall
U S Cinema,"Plot No. 2, Eros Market Place, Padmana Naidu Marg, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201010",28.64856192,77.37561819,Cinema
SRS Cinema,"3rd Floor, Plot No, 3, Dr Sushila Naiyar Marg, Aditya Mega City, Vaibhav Khand, Indirapuram, Ghaziabad, Uttar Pradesh 201014",28.64020157,77.36021246,Cinema
Indirapuram Habitat center,"Dr Sushila Naiyar Marg, Ahinsa Khand 1, Indirapuram, Ghaziabad, Uttar Pradesh 201014",28.64011022,77.36882861,Shopping mall
Jaipuria mall,"144, UGF, Jaipuria mall, Ahinsa Khand-1, Mohan Nagar Link Road, Indirapuram, Ghaziabad, Uttar Pradesh 201014",28.64041153,77.37771208,Shopping mall
Leaf N Loaf,"A-13/2,3,4, Highway Towers, Sector 62, Noida, Uttar Pradesh 201309",28.6284515,77.37395849,Restaurant
Naivedyam,"H1A/17.1st Floor, H Block, Sector 63, Noida, Uttar Pradesh 201301",28.62842633,77.37576501,Restaurant
GreeNox,"A Block, The Corenthum Office Complex, Sector 62, Noida, Uttar Pradesh 201309",28.62692455,77.37383423,Restaurant
Nidhi Maggie point,"Sec-63, Near IMS, Noida",28.63150603,77.37028893,Food stall
Ram Tea stall,"Sec-63, Near IMS, Noida",28.63150133,77.37004499,Food stall
Raju Cobbler,"Sec-62, Near Metro Gate",28.62892967,77.37420796,Cobbler
Pritam Cobble,"Shipra Plaza, Indirapuram",28.63650954,77.36920224,Cobbler
Ram Tailor,"Shipra Plaza, Indirapuram",28.63722286,77.36930249,Tailor
Mohan Maggie and Tea stall,"Sec-62, Near Metro Gate",28.62788748,77.37399185,Food stall
Amar Milk shakes,"Shipra Plaza, Indirapuram",28.63708774,77.36951373,Food stall
Haldiram,"Shop 47 48 49 50 - 53 55, Gulmohar Rd, Vaibhav Khand, Indirapuram, Ghaziabad, Uttar Pradesh 201014",28.63388877,77.370329,Restaurant
Gupta Rolls,"Sec-62, Near Metro Gate",28.62797297,77.37383949,Food stall
Singla Rolls corner,"Sec-63, Below Metro Station",28.62855811,77.37461289,Food stall
