B,Title,Address,latitude,longitude,Category
1,K S PLUMBING Br FIR,"SHOP.N0.3, NEAR RADHA KRISHNA MANDIR NITHARI, SEC, Sector 31, Noida,",28.577413,77.3402051,Plumber
2,Malik Electrician at PI_,"Main Road, Near Pet Clinic, Sarfabad, Sec.73, Noida, Uttar Pradesh 201301",28.5883139,77.379674,Plumber
3,Plumbing services in ...,"V-82, D Colony, Sector 4, Noida, Uttar Pradesh 201301",28.5833321,77.3229411,Plumber
4,Balram Plumbing an,"B-11, near SBI bank B Block Sector 65, Noida, Uttar Pradesh 201309",28.6124902,77.3857204,Plumber
5,Raju Plumber Services,"Bakshi Hardware, Sec - 18, Atta Market, Pocket E, Sector 27, Noida, Uttar Prades...",28.5727278,77.3259812,Plumber
6,Barn Lakhan Plumbin,"Shop No: 27, Super Bazar, Kama! Marg, Block H, Sector 22, Noida, Uttar Prudes...",28.599059,77.349134,Plumber
7,Plumberservices,"Delhi NCR Badarpur, 110044",28.499635,77.30708,Plumber
8,Plumbing Contractors,"No. 2, Street No. 26, Block C, Molar band Extension, Badarpur, New Delhi, Harya...",28.4944273,77.3123037,Plumber
9,Fejyab Khan Plumber,"A-106,H igh Tension Road, Mauiana Azad Rd, Shaheen Bag h, Jasola Vihar, New ...",28.5458399,77.3011872,Plumber
10,GUDDU PLUMBING ...,"934, Gali Number 6, Krishna Nagar, Christian Nagar, Nai Basti Dundahera, Ghazi...",28.640307,77.4160265,Plumber
